11000,Jon,Yang,Jon Yang,Male,2019-01-19,Rockhampton,Queensland,Australia
11001,Eugene,Huang,Eugene Huang,Male,2019-01-15,Seaford,Victoria,Australia
11002,Ruben,Torres,Ruben Torres,Male,2019-01-07,Hobart,Tasmania,Australia
11003,Christy,Zhu,Christy Zhu,Female,2018-12-29,North Ryde,New South Wales,Australia
11004,Elizabeth,Johnson,Elizabeth Johnson,Female,2019-01-23,Wollongong,New South Wales,Australia
11005,Julio,Ruiz,Julio Ruiz,Male,2018-12-30,East Brisbane,Queensland,Australia
11006,Janet,Alvarez,Janet Alvarez,Female,2019-01-24,Matraville,New South Wales,Australia
11007,Marco,Mehta,Marco Mehta,Male,2019-01-09,Warrnambool,Victoria,Australia
11008,Rob,Verhoff,Rob Verhoff,Female,2019-01-25,Bendigo,Victoria,Australia
11009,Shannon,Carlson,Shannon Carlson,Male,2019-01-27,Hervey Bay,Queensland,Australia
11010,Jacquelyn,Suarez,Jacquelyn Suarez,Female,2019-01-14,East Brisbane,Queensland,Australia
11011,Curtis,Lu,Curtis Lu,Male,2018-12-30,East Brisbane,Queensland,Australia
11012,Lauren,Walker,Lauren Walker,Female,2021-03-16,Bremerton,Washington,United States
11013,Ian,Jenkins,Ian Jenkins,Male,2021-04-13,Lebanon,Oregon,United States
11014,Sydney,Bennett,Sydney Bennett,Female,2021-03-23,Redmond,Washington,United States
11015,Chloe,Young,Chloe Young,Female,2021-01-18,Burbank,California,United States
11016,Wyatt,Hill,Wyatt Hill,Male,2021-02-09,Imperial Beach,California,United States
11017,Shannon,Wang,Shannon Wang,Female,2019-01-12,Sunbury,Victoria,Australia
11018,Clarence,Rai,Clarence Rai,Male,2019-01-17,Bendigo,Victoria,Australia
11019,Luke,Lal,Luke Lal,Male,2021-02-12,Langley,British Columbia,Canada
11020,Jordan,King,Jordan King,Male,2020-12-29,Metchosin,British Columbia,Canada
11021,Destiny,Wilson,Destiny Wilson,Female,2021-01-23,Beaverton,Oregon,United States
11022,Ethan,Zhang,Ethan Zhang,Male,2021-01-20,Bellingham,Washington,United States
11023,Seth,Edwards,Seth Edwards,Male,2021-02-17,Bellflower,California,United States
11024,Russell,Xie,Russell Xie,Male,2021-06-27,Concord,California,United States
11025,Alejandro,Beck,Alejandro Beck,Male,2019-01-06,Hawthorne,Queensland,Australia
11026,Harold,Sai,Harold Sai,Male,2019-01-23,Goulburn,New South Wales,Australia
11027,Jessie,Zhao,Jessie Zhao,Male,2019-01-16,Warrnambool,Victoria,Australia
11028,Jill,Jimenez,Jill Jimenez,Female,2019-01-26,St. Leonards,New South Wales,Australia
11029,Jimmy,Moreno,Jimmy Moreno,Male,2019-01-19,Bendigo,Victoria,Australia
